date;EWI US Equity;EWD US Equity;EWI US Equity_cp_precio;EWI US Equity_mp_precio;EWI US Equity_lp_precio;EWI US Equity_cp_mp;EWI US Equity_cp_lp;EWI US Equity_mp_lp;EWI US Equity_compare;EWD US Equity_cp_precio;EWD US Equity_mp_precio;EWD US Equity_lp_precio;EWD US Equity_cp_mp;EWD US Equity_cp_lp;EWD US Equity_mp_lp;EWD US Equity_compare;CLASS
2005-04-12;79.5141;32.3637;0.9840757802704171;0.9828148215222196;0.8803711857393843;1.0012830074603927;1.1177964433762515;1.1163641398563011;0.9577898762609398;0.9733630138528211;0.9796221074846224;0.902944239997282;0.9936107060222713;1.0779879540022883;1.0849198257110222;0.9730253339389501;0
2005-04-13;78.6598;31.8889;0.9962319652841364;0.993993145164365;0.8909582976310642;1.0022523496572013;1.1181577947396422;1.115644972169019;0.9701321386527807;0.9890219301566189;0.9950820504940615;0.9172556594928027;0.9939099290008963;1.078240204812145;1.08484700006571;0.9812693445054549;0
2005-04-14;77.8055;31.8123;1.0077308159448877;1.00500126597734;0.901724916619005;1.0027159666957168;1.1175590220167688;1.1145319902499389;0.984313448278078;0.99212546270288;0.9979787692181978;0.9202881904169152;0.9941348386400011;1.0780595394290788;1.0844198367536224;1.0033697657824174;0
2005-04-15;76.8901;31.3682;1.0195863966882597;1.0168153247297107;0.9133905535302983;1.0027252460610638;1.116265536957339;1.113231706633784;0.9996033299475484;1.0064856401432924;1.01230316052563;0.9340554128066012;0.9942531836220714;1.0775438227150322;1.0837720617494353;1.0249010144031214;0
2005-04-18;76.4324;31.2763;1.025121638766506;1.0229362416985457;0.9197914758662555;1.0021363961690628;1.1145152631481512;1.1121392930230725;1.007185434449265;1.0099678396375888;1.015689004134123;0.9375863353401788;0.994367208394255;1.0771998285055513;1.0833018420278135;1.0308508359364759;0
2005-04-19;76.1578;31.4907;1.026814625122349;1.0263762083463535;0.923983505300836;1.0004271501740105;1.1112910774181326;1.1108165919176014;1.0052089214761983;1.003230659029037;1.0091921106866495;0.9320058938035685;0.9940928475416277;1.0764209386432055;1.082817305551663;1.010698396669493;0
2005-04-20;76.3104;31.2916;1.0225336258229543;1.0241718035811622;0.9230508030360214;0.9984004853946576;1.107776107728548;1.1095508505193237;0.9864055227072587;1.0098938008009446;1.0159951552493345;0.9387462929348461;0.9939947012376329;1.0757899215172042;1.0822893926675135;0.9975520586994593;0
2005-04-21;76.585;31.9195;1.0175012824219585;1.0205234706535211;0.9206319514265195;0.997038590176052;1.1052204747460044;1.1085032070331902;0.9713142260233727;0.991535850230378;0.9967193095129959;0.9211297012797829;0.9947994794189845;1.0764345660038706;1.0820618509295614;0.9491376744623192;1
2005-04-22;76.8596;32.1493;1.0129302557613395;1.0170068020130203;0.918267607429651;0.9959916234152891;1.1030883018912772;1.107527689950594;0.9730053239933594;0.9867964243611609;0.990233255467462;0.915448703393232;0.996529271171893;1.077937431888285;1.0816916904213543;0.9561701187895227;1
2005-04-25;76.9816;32.2412;1.0100226176496347;1.0152206501293808;0.9176875902813139;0.9948798987894074;1.1006170600389353;1.1062813324283578;0.9789936816070335;0.9859518699233096;0.9883893279406496;0.9137730140317367;0.9975339090088937;1.0789899184843579;1.0816573840145398;0.9501197225909707;1
2005-04-26;76.5545;31.8276;1.0142056592735516;1.0204860328262861;0.9236771254465771;0.9938457035660343;1.0980088510725066;1.1048081680412993;0.9856520518062296;0.9989703455940301;1.0018686297427413;0.9265761477459823;0.9971071215699654;1.0781308670897218;1.0812588173998625;0.9639086830298231;1
2005-04-27;75.273;31.215;1.0279978022853948;1.036967730793245;0.9402611627011013;0.9913498479832266;1.0933109257987976;1.1028507524593842;1.0113493550144144;1.0175938765703296;1.0214519942335436;0.9456212878423844;0.9962229084822444;1.076111430287451;1.0801914121076754;0.9995098510331571;1
2005-04-28;74.3881;30.296;1.0354802333015238;1.0480480614506882;0.9522356936122847;0.9880083475067278;1.087420100136609;1.1006183327101944;1.0283029140413589;1.0452115319325506;1.0515975046210744;0.9749759044098241;0.9939273603631982;1.0720383213626616;1.0785881988105452;1.0232571956693952;1
2005-04-29;74.7848;30.7402;1.0250332573311298;1.041615515452337;0.94803807057049;0.9840802504617013;1.0812152899242826;1.09870642096212;1.0110156074496421;1.0267627685292495;1.0359434226192434;0.961684357941719;0.9911378808055156;1.067671279094959;1.0772177108468939;1.013451441434994;0
2005-05-02;75.3645;30.633000000000003;1.0132158661287085;1.0328261183979184;0.9416312653835689;0.9810130166928499;1.076021903028018;1.0968477326177162;1.0072872506286117;1.0263203547994453;1.0391187281689702;0.9658345248588134;0.9876834349891115;1.0626254584857315;1.0758765621066089;1.018000195867202;0
2005-05-03;75.4561;30.6789;1.0089531718253575;1.0309495985082708;0.9413589027262207;0.9786639165340955;1.0718049926583586;1.0951716667496223;0.9947426384347984;1.0219676343396549;1.0373144408697856;0.9652474990954706;0.9852052512473821;1.058762271124594;1.0746616197833703;1.0034942582687125;0
2005-05-04;76.1273;31.1997;0.9984828044604228;1.0216274319462257;0.9339858040413884;0.9773453347452584;1.0690556538867653;1.0938361456090757;0.9851708913885032;1.0035059860923565;1.0198616653365278;0.9500208335336568;0.9839628453543509;1.0562989259506643;1.0735150528679396;0.9882178354279048;0
2005-05-05;76.4935;31.0006;0.9933323933219342;1.0165929654153611;0.9305229333211319;0.9771190900539793;1.067499099432863;1.0924964114393576;0.9764659742331048;1.009103971259542;1.0260065934207747;0.9569178015909381;0.9835258152631572;1.0545356869543456;1.0721992962352378;0.9906098591640162;0
2005-05-06;75.6086;31.1537;1.0041797966293322;1.0279501009144454;0.9423437214814187;0.9768760134718918;1.065619448337496;1.090844112908662;0.9753837526418953;1.0038637923768738;1.020482639301273;0.9531143331289713;0.9837147186200266;1.0532459301931778;1.0706822925966697;0.9886915518862928;0
